HwTrapBody(id=null, newOrClear=2, trapId=414894563, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 01:47:57, alarmClearedTime=2025-05-04 07:12:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414919556, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 07:12:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414919556, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 07:12:59, alarmClearedTime=2025-05-04 07:14:59, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414919797, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 07:16:18, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414919797, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 07:16:18, alarmClearedTime=2025-05-04 08:03:04, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414924082, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 08:03:16, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414938560, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL074, siteName=KBL074_UL_CPX, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU074, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 10:20:09, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414938560, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL074, siteName=KBL074_UL_CPX, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU074, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 10:20:09, alarmClearedTime=2025-05-04 10:21:35, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414924082, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 08:03:16, alarmClearedTime=2025-05-04 10:34:05, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414940448, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 10:42:29, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414940448, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 10:42:29, alarmClearedTime=2025-05-04 10:49:21, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
